Timestamp,EC,EC_normal,EC_lower,EC_upper,EC_bias_up,EC_bias_low,EC_drift_up,EC_drift_low,EC_precision,EC_stuck,EC_spike,test_normal,test_bias_up,test_bias_low,test_drift_up,test_drift_low,test_precision,test_stuck,test_spike,serial_normal,serial_bias_up,serial_bias_low,serial_drift_up,serial_drift_low,serial_precision,serial_stuck,serial_spike,EC(t-1),EC(t-2),EC(t-3)
8/30/2023 18:28,1.694901961,1.694901961,1.644054902,1.74574902,2.194901961,1.194901961,1.701901961,1.687901961,1.450733231,2.093627451,1.694901961,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.693300654,1.693300654,1.690098039
8/30/2023 18:33,1.702908497,1.702908497,1.651821242,1.753995752,2.202908497,1.202908497,1.710108497,1.695708497,1.744681216,2.093627451,1.702908497,1,1,1,0,0,0,1,0,0,1,1,0,0,0,4,0,1.694901961,1.693300654,1.693300654
8/30/2023 18:37,1.690098039,1.690098039,1.639395098,1.74080098,2.190098039,1.190098039,1.697498039,1.682698039,1.298164014,2.093627451,1.690098039,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.702908497,1.694901961,1.693300654
8/30/2023 18:42,1.680490196,1.680490196,1.63007549,1.730904902,2.180490196,1.180490196,1.688090196,1.672890196,1.414852986,2.093627451,1.680490196,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.690098039,1.702908497,1.694901961
8/30/2023 18:47,1.694901961,1.694901961,1.644054902,1.74574902,2.194901961,1.194901961,1.702701961,1.687101961,1.734274208,2.093627451,1.694901961,1,1,1,0,0,0,1,0,0,1,1,0,0,0,4,0,1.680490196,1.690098039,1.702908497
8/30/2023 18:52,1.680490196,1.680490196,1.63007549,1.730904902,2.180490196,1.180490196,1.688490196,1.672490196,1.828183512,2.093627451,2.180490196,1,1,1,0,0,1,1,1,0,1,1,0,0,3,4,5,1.694901961,1.680490196,1.690098039
8/30/2023 18:56,1.698104575,1.698104575,1.647161438,1.749047712,2.198104575,1.198104575,1.706304575,1.689904575,1.732378231,2.093627451,1.698104575,1,1,1,0,0,0,1,0,0,1,1,0,0,0,4,0,1.680490196,1.694901961,1.680490196
8/30/2023 19:01,1.698104575,1.698104575,1.647161438,1.749047712,2.198104575,1.198104575,1.706504575,1.689704575,1.674974919,2.093627451,1.698104575,1,1,1,0,0,0,1,0,0,1,1,0,0,0,4,0,1.698104575,1.680490196,1.694901961
8/30/2023 19:06,1.694901961,1.694901961,1.644054902,1.74574902,2.194901961,1.194901961,1.703501961,1.686301961,1.634681222,2.093627451,1.694901961,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.698104575,1.698104575,1.680490196
8/30/2023 19:11,1.691699346,1.691699346,1.640948366,1.742450327,2.191699346,1.191699346,1.700499346,1.682899346,1.395994948,2.093627451,1.691699346,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.694901961,1.698104575,1.698104575
8/30/2023 19:16,1.693300654,1.693300654,1.642501634,1.744099673,2.193300654,1.193300654,1.702300654,1.684300654,1.549331812,2.093627451,1.693300654,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.691699346,1.694901961,1.698104575
8/30/2023 19:20,1.691699346,1.691699346,1.640948366,1.742450327,2.191699346,1.191699346,1.700899346,1.682499346,1.599571592,2.093627451,1.691699346,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.693300654,1.691699346,1.694901961
8/30/2023 19:25,1.686895425,1.686895425,1.636288562,1.737502288,2.186895425,1.186895425,1.696295425,1.677495425,1.89831987,2.093627451,1.686895425,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.691699346,1.693300654,1.691699346
8/30/2023 19:30,1.690098039,1.690098039,1.639395098,1.74080098,2.190098039,1.190098039,1.699698039,1.680498039,1.758821697,2.093627451,2.190098039,1,1,1,0,0,1,1,1,0,1,1,0,0,3,4,5,1.686895425,1.691699346,1.693300654
8/30/2023 19:35,1.698104575,1.698104575,1.647161438,1.749047712,2.198104575,1.198104575,1.707904575,1.688304575,1.345496544,2.093627451,1.698104575,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.690098039,1.686895425,1.691699346
8/30/2023 19:40,1.717320261,1.717320261,1.665800654,1.768839869,2.217320261,1.217320261,1.727320261,1.707320261,1.782137055,2.093627451,1.717320261,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.698104575,1.690098039,1.686895425
8/30/2023 19:44,1.734934641,1.734934641,1.682886601,1.78698268,2.234934641,1.234934641,1.745134641,1.724734641,1.657918184,2.093627451,1.734934641,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.717320261,1.698104575,1.690098039
8/30/2023 19:49,1.710915033,1.710915033,1.659587582,1.762242484,2.210915033,1.210915033,1.721315033,1.700515033,1.575530633,2.093627451,1.710915033,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.734934641,1.717320261,1.698104575
8/30/2023 19:54,1.726928105,1.726928105,1.675120261,1.778735948,2.226928105,1.226928105,1.737528105,1.716328105,1.849263362,2.093627451,1.726928105,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.710915033,1.734934641,1.717320261
8/30/2023 19:59,1.71251634,1.71251634,1.66114085,1.76389183,2.21251634,1.21251634,1.72331634,1.70171634,1.918716244,2.093627451,1.71251634,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.726928105,1.710915033,1.734934641
8/30/2023 20:03,1.731732026,1.731732026,1.679780065,1.783683987,2.231732026,1.231732026,1.742732026,1.720732026,1.91798805,2.093627451,1.731732026,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.71251634,1.726928105,1.710915033
8/30/2023 20:08,1.714117647,1.714117647,1.662694118,1.765541176,2.214117647,1.214117647,1.725317647,1.702917647,1.546274142,2.093627451,2.214117647,1,1,1,0,0,1,1,1,0,1,1,0,0,3,4,5,1.731732026,1.71251634,1.726928105
8/30/2023 20:13,1.725326797,1.725326797,1.673566993,1.777086601,2.225326797,1.225326797,1.736726797,1.713926797,1.663484322,2.093627451,1.725326797,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.714117647,1.731732026,1.71251634
8/30/2023 20:18,1.731732026,1.731732026,1.679780065,1.783683987,2.231732026,1.231732026,1.743332026,1.720132026,1.797984712,2.093627451,1.731732026,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.725326797,1.714117647,1.731732026
8/30/2023 20:23,1.715718954,1.715718954,1.664247386,1.767190523,2.215718954,1.215718954,1.727518954,1.703918954,1.91082798,2.093627451,1.715718954,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.731732026,1.725326797,1.714117647
8/30/2023 20:27,1.730130719,1.730130719,1.678226797,1.782034641,2.230130719,1.230130719,1.742130719,1.718130719,1.634295871,2.093627451,1.730130719,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.715718954,1.731732026,1.725326797
8/30/2023 20:32,1.715718954,1.715718954,1.664247386,1.767190523,2.215718954,1.215718954,1.727918954,1.703518954,1.678587159,2.093627451,1.715718954,1,1,1,0,0,0,1,0,0,1,1,0,0,0,4,0,1.730130719,1.715718954,1.731732026
8/30/2023 20:37,1.717320261,1.717320261,1.665800654,1.768839869,2.217320261,1.217320261,1.729720261,1.704920261,1.496053267,2.093627451,1.717320261,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.715718954,1.730130719,1.715718954
8/30/2023 20:42,1.720522876,1.720522876,1.66890719,1.772138562,2.220522876,1.220522876,1.733122876,1.707922876,1.481281551,2.093627451,1.720522876,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.717320261,1.715718954,1.730130719
